College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1232,"ARM College of Engineering and Technology, Sattamangalam, Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",156,,,,,,
1232,"ARM College of Engineering and Technology, Sattamangalam, Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209",SC,"COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)",162.5,,,,,,
1233,"Adhi College of Engineering and Technology, No. 6, Munu Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad, Kancheepuram-631605",ME,"MECHANICAL ENGINEERING",121,,,,,,
1303,"Anand Institute of Higher Technology, Kalasalingam Nagar, Old Mahabalipuram Road, Kazhipattur Village, Chengalpattu Taluk, Kancheepuram District-603103",CS,"COMPUTER SCIENCE AND ENGINEERING",118.5,,,,,,
1304,"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089",AM,"COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)",138,,,,,,
1304,"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089",ME,"MECHANICAL ENGINEERING",127,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",CH,"CHEMICAL ENGINEERING",152,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",CS,"COMPUTER SCIENCE AND ENGINEERING",191.5,165,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",190.5,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",187.5,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",IT,"INFORMATION TECHNOLOGY",197.5,161.5,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",ME,"MECHANICAL ENGINEERING",178,172,,,,,,
1317,"St. Joseph's College of Engineering (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119",ME,"MECHANICAL ENGINEERING",138,,,,,,
1321,"Central Institute of Petrochemicals Engineering and Technology (Formerly CIPET), Guindy, Chennai 600032",PA,"PLASTIC TECHNOLOGY",160.5,,,,,,
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",120,115.5,,,,,
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",AE,"AERONAUTICAL ENGINEERING",131,,,,,,
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",150,,,,,,
1324,"Sri Sai Ram Institute of Technology (Autonomous), Sai Leo Nagar, Dharkast Road, West Tambaram, Kanchipuram, Chennai-600044",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",123.5,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",153,144.5,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",CS,"COMPUTER SCIENCE AND ENGINEERING",128.5,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",EA,"Electronics and Communication (Advanced Communication Technology)",142,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",148,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",IT,"INFORMATION TECHNOLOGY",185,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",ME,"MECHANICAL ENGINEERING",152,,,,,,
1399,"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",MZ,"MECHATRONICS ENGINEERING",145,,,,,,
1402,"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",127,,,,,,
1402,"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",120,,,,,,
1412,"Mailam Engineering College, Mailam, Tindivanam Taluk, Villupuram District-604304",CS,"COMPUTER SCIENCE AND ENGINEERING",134.5,,,,,,
1419,"Sri Sai Ram Engineering College (Autonomous), Sai Leo Nagar, Poonthandalam Village, Dharkast Post, West Tambram, Kanchipuram, Chennai-600044",ME,"MECHANICAL ENGINEERING",139,135.5,,,,,,
1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107",CS,"COMPUTER SCIENCE AND ENGINEERING",111,,,,,,
1421,"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",118,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous), S.R.M. Nagar, Kattankulathur, Chengalpattu, Kancheepuram, Chennai-603203",CS,"COMPUTER SCIENCE AND ENGINEERING",142.5,,,,,,
1427,"Sri Krishna Engineering College, Panapakkam, Near Padappai Via Tambaram, Kanchipuram, Chennai-601301",CS,"COMPUTER SCIENCE AND ENGINEERING",164,,,,,,
1430,"Maha Barathi Engineering College, A. Vasudevanur (post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",138.5,,,,,,
1437,"Rrase College of Engineering, Vanjuvancherry, Padappai, Sriperumbadur, Kancheepuram-601301",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",135.5,,,,,,
1444,"R.M.Engineering College (formerly Chendu College of Engineering and Technology), Zamin Endathur Village, Madurantakam, Kanchipuram-603311",SC,"COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)",123,,,,,,
1450,"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Chennai-600034",CS,"COMPUTER SCIENCE AND ENGINEERING",133.5,,,,,,
1450,"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Chennai-600034",ME,"MECHANICAL ENGINEERING",128.5,,,,,,
1452,"PERI Institute of Technology (Autonomous), Mannivakkam, Tambaram, Kancheepuram, Chennai-600048",CS,"COMPUTER SCIENCE AND ENGINEERING",146.5,,,,,,
1510,"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",CS,"COMPUTER SCIENCE AND ENGINEERING",113,,,,,,
1510,"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",113,,,,,,
1510,"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",IT,"INFORMATION TECHNOLOGY",124.5,,,,,,
1510,"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",ME,"MECHANICAL ENGINEERING",130,,,,,,
1511,"Ranippettai Engineering College, Thenkadappanthangal, Vellore District 632513",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",126,,,,,,
1512,"S.K.P. Engineering College, Chinnkangiyanur, Somasipadi Post, Tiruvannamalai District-606611",ME,"MECHANICAL ENGINEERING",116,,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CE,"CIVIL ENGINEERING",133,,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CS,"COMPUTER SCIENCE AND ENGINEERING",170,,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",166.5,159,167,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",148,,,,,,
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ME,"MECHANICAL ENGINEERING",158,126,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",AM,"COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)",124,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",126.5,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",117,,,,,,
1518,"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",ME,"MECHANICAL ENGINEERING",116,,,,,,
