college_name,branch_name,tnea_code,category,cutoff_2024,nirf_rank_2024
"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",COMPUTER SCIENCE AND ENGINEERING,1510,OC,113,999
"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",ELECTRONICS AND COMMUNICATION ENGINEERING,1510,OC,113,999
"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",INFORMATION TECHNOLOGY,1510,OC,124.5,999
"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751",MECHANICAL ENGINEERING,1510,OC,130,999
"Ranippettai Engineering College, Thenkadappanthangal, Vellore District 632513",ELECTRICAL AND ELECTRONICS ENGINEERING,1511,OC,126,999
"S.K.P. Engineering College, Chinnkangiyanur, Somasipadi Post, Tiruvannamalai District-606611",MECHANICAL ENGINEERING,1512,OC,116,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CIVIL ENGINEERING,1516,OC,133,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",COMPUTER SCIENCE AND ENGINEERING,1516,OC,170,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRONICS AND COMMUNICATION ENGINEERING,1516,OC,166.5,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRONICS AND COMMUNICATION ENGINEERING,1516,BC,159,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRONICS AND COMMUNICATION ENGINEERING,1516,BCM,167,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRICAL AND ELECTRONICS ENGINEERING,1516,OC,148,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",MECHANICAL ENGINEERING,1516,OC,158,999
"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",MECHANICAL ENGINEERING,1516,BC,126,999
"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),1518,OC,124,999
"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",ELECTRONICS AND COMMUNICATION ENGINEERING,1518,OC,126.5,999
"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",ELECTRICAL AND ELECTRONICS ENGINEERING,1518,OC,117,999
"Thiruvalluvar College of Engineering and Technology, Arunachala City, Ponnur Hills, Vandavasi, Thiruvannamalai District-604505",MECHANICAL ENGINEERING,1518,OC,116,999
"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampalli, Vellore District-635854",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1519,OC,116.5,999
"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampalli, Vellore District-635854",INFORMATION TECHNOLOGY,1519,OC,124.5,999
"Podhigai College of Engineering and Technology, Salem Main Road, Adiyur Post, Tirupattur Taluk, Tirupattur, Vellore District-635601",MECHANICAL ENGINEERING,1525,OC,112.5,999
"College Name",Branch Name,College Code,OC,NaN,999
"College Name",Branch Name,College Code,BC,NaN,999
"College Name",Branch Name,College Code,BCM,NaN,999
"College Name",Branch Name,College Code,MBC,NaN,999
"College Name",Branch Name,College Code,SC,NaN,999
"College Name",Branch Name,College Code,SCA,NaN,999
"College Name",Branch Name,College Code,ST,NaN,999
"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",ELECTRONICS AND COMMUNICATION ENGINEERING,1527,OC,119,999
"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",ELECTRICAL AND ELECTRONICS ENGINEERING,1527,OC,111,999
"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",INFORMATION TECHNOLOGY,1527,OC,114,999
"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",MECHANICAL ENGINEERING,1527,OC,116,999
"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",COMPUTER SCIENCE AND ENGINEERING,1528,OC,116,999
"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",ELECTRONICS AND COMMUNICATION ENGINEERING,1528,OC,117,999
"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",INFORMATION TECHNOLOGY,1528,OC,119,999
"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",MECHANICAL ENGINEERING,1528,OC,112,999
"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",COMPUTER SCIENCE AND ENGINEERING,1534,OC,117,999
"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",ELECTRONICS AND COMMUNICATION ENGINEERING,1534,OC,111,999
"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",ELECTRICAL AND ELECTRONICS ENGINEERING,1534,OC,113,999
"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",MECHANICAL ENGINEERING,1534,OC,112,999
"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",COMPUTER SCIENCE AND ENGINEERING,1536,OC,156,999
"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",ELECTRONICS AND COMMUNICATION ENGINEERING,1536,OC,143,999
"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",ELECTRICAL AND ELECTRONICS ENGINEERING,1536,OC,140,999
"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",INFORMATION TECHNOLOGY,1536,OC,150,999
"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",MECHANICAL ENGINEERING,1536,OC,137,999
"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",COMPUTER SCIENCE AND ENGINEERING,1540,OC,140,999
"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",ELECTRONICS AND COMMUNICATION ENGINEERING,1540,OC,132,999
"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",INFORMATION TECHNOLOGY,1540,OC,138,999
